protein_id	DMSO_R1	DMSO_R2	DMSO_R3	DMSO_R4	Erl_R1	Erl_R2	Erl_R3	Erl_R4	Lap_R1	Lap_R2	Lap_r3	Lap_R4	Sor_R1	Sor_R2	Sor_R3	Sor_R4	Sun_R1	Sun_R2	Sun_R3	Sun_R4
sp|P48307|TFPI2_HUMAN	6.92046	17.3888	8.85837	9.49444	12.8075	6.26634	10.8362	8.96	17.2556	4.95499	11.5848	11.6049	8.64747	6.12745	10.4603	9.45309	14.602	5.02935	9.56402	9.18386
sp|P48426|PI42A_HUMAN	9.50693	9.11648	10.4968	10.038	9.05096	11.6752	9.65217	10.2884	10.3155	11.4055	8.72315	10.3107	7.83464	11.1365	9.30473	9.98218	9.06528	10.893	10.2854	10.9184
sp|P48444|COPD_HUMAN	10.601	9.71487	10.2445	9.48494	10.1735	9.34306	9.6548	10.2188	10.3971	9.37474	9.98308	9.28929	9.99692	10.2016	9.98836	10.5548	9.79082	10.4065	10.2777	10.3037
sp|P48449|ERG7_HUMAN	8.62085	10.5146	8.49292	10.5009	9.19877	11.1365	8.90936	10.7103	10.6261	11.1744	11.4008	11.3051	9.31677	10.9816	9.2723	10.5246	8.42705	10.0033	8.76208	10.1216
sp|P48454-3|PP2BC_HUMAN	9.67077	8.72507	10.0891	9.95368	9.90639	10.9417	10.524	10.5206	9.93479	11.78	9.81143	9.84214	10.4211	9.23912	10.3498	9.53636	9.65415	9.72697	10.0234	9.34949
sp|P48506|GSH1_HUMAN	9.9171	8.58924	9.69204	9.58483	9.26902	10.7489	10.1547	9.50593	9.67107	10.5999	9.60141	10.384	9.75495	10.8114	10.0127	10.6297	9.28411	11.3544	10.0792	10.3555
sp|P48507|GSH0_HUMAN	9.48005	9.32332	10.0165	9.26516	11.1436	9.35801	11.5376	9.39315	9.49467	9.6103	8.68799	9.28118	10.7109	10.2542	11.2018	10.2547	9.89425	10.7306	9.76889	10.5929
sp|P48509|CD151_HUMAN	10.1701	9.58281	9.83029	10.9254	9.7204	11.3724	10.3142	10.7738	11.1725	10.522	10.7048	10.6964	12.037	8.2021	10.6593	8.19913	9.14402	8.0767	8.87954	9.01714
sp|P48553|TPC10_HUMAN	9.68058	10.1305	9.79698	9.70604	9.32623	9.89126	9.2453	11.5341	10.4468	10.4624	10.0798	9.91816	9.54028	10.9036	8.9706	10.8457	9.83841	9.77997	9.84059	10.0627
sp|P48556|PSMD8_HUMAN	10.0489	9.54443	9.53206	10.0551	9.67731	10.1512	9.46338	10.6963	10.281	9.99085	9.51959	10.1218	10.2929	10.1386	9.94908	10.8598	9.77454	10.1004	9.26802	10.535
sp|P48634|PRC2A_HUMAN	10.1952	10.4543	10.1138	9.8803	10.5386	9.43506	10.6207	9.20984	10.5964	9.4373	10.2699	9.68357	10.1427	8.95775	11.0061	9.40432	10.8594	9.38325	10.378	9.43339
sp|P48637|GSHB_HUMAN	9.83259	9.79539	10.3316	10.0175	9.43939	10.2419	9.36322	9.59221	9.3364	10.0141	8.70498	9.85884	9.10059	11.2577	9.81276	10.5664	9.72068	11.2613	9.91513	11.8375
sp|P48643|TCPE_HUMAN	10.1102	9.61526	10.4642	9.32484	9.90148	10.0636	9.6018	10.2046	9.92824	9.52387	8.72846	9.88557	9.92135	10.1058	9.33753	10.707	10.2241	10.6061	9.92144	11.8246
sp|P48651|PTSS1_HUMAN	10.8476	8.4571	10.9271	9.36376	9.79183	10.9052	10.5026	10.0082	10.1845	11.164	9.0933	10.4919	9.70623	9.8631	11.2627	8.87386	9.682	9.39843	10.7858	8.69062
sp|P48681|NEST_HUMAN	10.8455	9.1681	10.9007	8.62707	11.1413	7.73609	10.5185	8.94017	9.32823	7.58883	9.51519	8.78698	12.6045	9.15004	9.5881	10.9408	12.3129	10.1246	10.2398	11.9426
