DMSO_1,DMSO2,Erlotinib1,Erl2,Lap1,Lap2,Sor1,Sor2,Sun1,Sun2
9.82838,9.70989,9.79719,9.94784,9.71382,9.73038,9.56992,10.1688,10.6987,10.8351
9.03137,9.64461,9.57034,9.23069,10.2468,10.1176,10.3608,11.1978,10.2182,10.3818
10.3426,10.4749,9.74492,9.41964,9.67686,9.29831,10.4776,10.2152,10.4092,9.94065
11.0973,11.0907,11.5895,12.2152,10.259,9.24372,8.60717,8.10759,8.87198,8.9178
13.3752,11.9662,11.406,13.3849,11.4935,9.80607,9.43509,6.65351,6.19974,6.27973
11.6523,11.4128,8.96292,10.3998,10.8685,9.65173,11.8726,9.19534,8.60194,7.38212
9.95696,10.4381,10.0231,9.80298,9.47478,9.57332,10.3594,10.1761,10.0161,10.1791
9.73317,10.8703,8.72755,9.14343,9.50493,9.79759,11.8488,11.4143,9.70736,9.25257
10.3108,10.1234,10.3333,10.798,10.6712,9.98432,9.15942,9.11604,9.70296,9.80054
10.1422,9.54482,10.9238,10.3939,10.6923,10.2108,9.64271,9.8812,8.82616,9.74211
11.801,10.6605,6.02295,9.39269,6.89631,19.3464,12.1158,4.40602,8.22125,11.1372
11.0122,10.6242,6.52669,9.02051,7.48429,18.2097,11.0118,5.74752,8.50183,11.8613
10.262,10.0891,7.18757,8.90713,8.66148,18.3677,10.4139,5.45934,9.1526,11.4991
11.4777,10.558,5.98617,9.4545,6.83642,19.2387,12.1262,4.64976,7.99706,11.6754
12.2967,10.966,7.17095,9.14617,8.26887,18.0872,10.7296,5.08673,8.0669,10.1809
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.32975,9.88165,9.70423,9.24496,9.37524,9.9831,8.94839,10.143,11.6149,11.7748
11.1856,9.98552,9.68074,9.13118,9.33864,8.35982,9.96939,9.36024,10.8915,12.0974
11.1331,8.59683,8.84157,8.62156,9.67724,14.7228,9.09166,6.80931,12.8909,9.61508
10.3002,9.69259,9.37566,9.89723,8.34137,10.1591,12.0349,10.4897,9.73931,9.96991
10.1761,9.94479,10.3652,10.4931,9.79496,9.575,10.4601,10.4169,9.56104,9.21284
