'Erl','Lap','Sor','Sun','GSE12260.txt','GSE42177.txt','GSE81448.txt','GSE76314','GSE40289'
0.18943,0.4237,0.54957,0.39327,0.0658,0.54963,0.064,-0.15196,-0.42944
0.15016,0.27107,0.54352,0.16281,-0.331,-0.51977,-0.092,0.91724,0.015453
-0.01569,0.056381,-0.25286,0.22419,-0.141,-0.28127,-0.028,0.037951,-0.58843
-0.081633,-0.16355,0.19753,0.10084,-0.0704,-0.20463,0.022,-0.10999,-0.21575
0.14272,0.6715,0.5321,-0.39674,-0.27,-0.0075352,-0.044,-0.25446,-0.76785
0.16088,0.32637,-0.41214,0.017327,-0.0284,0.20608,-0.062,-0.18474,-0.22684
0.059589,-0.033489,-0.84856,-0.91447,-0.286,0.1773,0.144,0.23618,-0.041513
0.09359,0.035247,0.11426,0.17546,-0.088,-0.21375,-0.126,-0.23105,-1.1551
-0.60098,-0.31524,-0.26904,-1.4276,-0.141,0.26582,0.072,-0.18083,0.11207
0.10961,0.1555,0.18241,0.43236,-0.0603,-0.72918,0.094,-0.25742,0.62611
-0.35623,-0.059069,-0.89416,-0.19447,0.0706,-0.072724,0.014,0.01849,0.51864
0.05922,-0.080146,1.0781,0.35153,-0.377,-0.2271,0.052,0.070694,0.57767
0.12015,0.11918,1.024,0.29063,-0.295,-0.10627,-0.244,-3.8822,-2.0747
-0.15082,-0.021008,-0.21652,-0.035447,-0.47,-0.19561,-0.124,0.35884,0.48607
-0.073841,-0.13668,0.92155,0.20662,0.625,0.59486,0.076,-0.1875,0.6094
0.18282,0.11244,-0.19747,-0.51911,-0.175,-0.06484,0.072,1.8859,-1.6324
-0.77614,-0.40393,0.89247,0.57931,-0.0325,0.024926,0.058,-3.0679,-0.027686
0.29874,0.34704,-0.83368,-1.3666,0.268,-0.53811,-0.06,0.12147,0.93226
-0.099691,0.078435,-0.31541,-0.029375,0.0624,-0.15142,0.098,0.022482,0.16779
0.16114,-1.0809,-3.1988,-1.0425,0.00785,-0.14635,-0.038,-0.07264,-0.0074681
0.032609,0.044061,-0.3438,0.16123,-0.147,-0.19676,-0.158,-0.014914,-0.68096
-0.10402,-0.19698,-0.011745,0.10022,0.275,-0.70069,0.452,-0.53661,-1.2087
0.026952,-0.14335,2.0094,0.44759,-0.0502,0.080746,-0.094,0.14683,0.45307
-0.27137,-0.55906,-0.27665,-0.37344,-0.0108,1.527,-0.096,0.23831,0.025997
-0.21509,0.036732,1.5173,-0.24543,-0.0401,0.00041396,0.034,0.37707,0.51932
0.12909,0.34239,0.58477,0.23628,0.124,-0.6475,0.14,-0.15955,-0.6194
-0.087216,0.15543,0.58564,-0.36157,0.262,0.25643,-0.034,-1.9246,-1.1456
0.10877,-0.4498,-0.12388,-0.039393,-0.194,-0.042413,-0.03,-1.5856,-1.3227
0.26669,0.26375,0.15584,0.25762,-0.175,-0.011834,-0.096,-0.59914,0.14474
-0.036909,-0.025639,-0.13841,0.41873,-0.274,0.1905,-0.188,0.055111,-1.0797
-0.19225,-0.26938,-0.26878,0.5058,-0.0521,0.19988,0.048,0.27562,-0.34431
0.043861,-0.3395,-0.70133,-0.97671,-0.158,0.032134,0.074,0.24656,-0.29653
-0.26035,-0.092071,0.55932,0.10952,-0.352,-0.61929,-0.01,0.27114,0.16547
-0.23854,0.032324,-1.6622,-0.44865,0.0519,-0.36413,-0.012,-0.44647,-1.2261
0.20779,-0.91215,-0.43887,-0.51115,-0.0747,-0.3382,-0.106,-0.1395,-1.0037
0.3867,0.2204,-0.16155,0.63187,-0.112,-0.75418,0.04,-0.17452,-0.22639
-0.2319,-0.4079,-0.24695,-0.21676,-0.0818,-0.087241,0.05,-0.19176,0.54035
0.1858,0.33989,0.25689,0.42958,-0.119,-0.15961,-0.134,-0.11466,-0.27067
-0.051555,-0.1147,-0.2671,0.44056,0.331,-0.29221,0.064,-0.076179,-0.073969
0.11848,0.03972,0.070816,0.10347,-0.0535,0.25465,-0.144,-0.13702,-0.63197
-0.037582,0.011693,0.42971,0.15808,-0.0614,-0.19897,0.01,-0.089196,0.16794
0.24577,0.3169,-2.3802,-0.50348,-0.102,0.41013,-0.042,-0.31323,0.67965
0.039643,-0.034226,0.99883,0.26486,-0.0196,-0.082172,-0.162,0.083786,-0.90977
-0.75705,-1.0418,-1.2625,-1.6858,-0.203,0.26572,0.01,-0.18293,0.43145
-1.1545,-0.58183,-0.662,0.31431,-0.0243,0.28053,0.058,-0.17885,-0.52206
0.3204,0.21357,0.6333,0.74516,-0.0389,0.016128,-0.056,-0.07414,0.23698
-0.20507,0.29207,-0.094953,-0.51389,-0.129,0.11738,0.118,-0.41545,-0.54158
-0.28046,-0.13889,-0.051145,-0.21208,-0.292,0.46045,0.188,0.48178,1.1511
-0.098141,-0.14798,-0.63674,-0.76362,0.00532,0.18213,-0.214,0.14667,-0.16248
0.206,0.29011,0.11265,0.31382,0.0869,0.070343,-0.07,-0.29053,-0.69712
0.58851,-0.032279,-0.48385,-0.53461,-0.109,0.27571,-0.098,-0.37225,0.68545
0.030596,0.44009,-0.010019,0.016242,-0.258,-0.34569,-0.17,0.086136,-0.93983
-0.42364,-0.43542,-0.28113,-0.14973,-0.102,-0.50656,-0.056,-0.0098186,0.13058
-0.14113,-0.36125,-3.4225,-1.7969,-0.171,-0.1924,-0.056,-0.33523,-0.27086
-0.16975,-0.4428,0.63115,-0.0079253,-0.342,0.068844,0.066,0.30277,-0.27965
-0.0018121,-0.042151,0.085389,-0.35523,-0.11,0.61409,-0.036,0.075226,0.65104
