,Gene.symbol,MeanFC,Cleaned Gene Symbols
1415,BCAT2,-0.5772041339,BCAT2
1416,BCCIP,0.0861880969,BCCIP
1417,BCDIN3D,0.3698319423,BCDIN3D
1419,BCHE,-0.6432880504,BCHE
1421,BCKDHB,-0.0155284133,BCKDHB
1422,BCKDK,-0.5930810353,BCKDK
1423,BCL10,-0.0061027422,BCL10
1424,BCL11A,-0.7878172803,BCL11A
1428,BCL2L1,0.0462905689,BCL2L1
1430,BCL2L12,0.0165591767,BCL2L12
1435,BCL6,0.3119912271,BCL6
1438,BCL7B,-0.2827896857,BCL7B
1439,BCL7C,-0.1375614631,BCL7C
1441,BCL9L,0.0869718544,BCL9L
1442,BCLAF1,-0.0651598367,BCLAF1
1449,BCS1L,-0.5098966744,BCS1L
1451,BDH1,-1.5358795424,BDH1
1452,BDH2,-0.2346249156,BDH2
1455,BDNF,0.3604460062,BDNF
1459,BECN1,0.2711471565,BECN1
1465,BEND5,#VALUE!,BEND5
1472,BET1,0.0012927564,BET1
1473,BET1L,0.2250330173,BET1L
1477,BEX4,0.2069394006,BEX4
1485,BHLHB9,-0.2089750204,BHLHB9
1488,BHLHE40,0.1311415942,BHLHE40
1495,BICD2,0.120534849,BICD2
1496,BID,0.2995280408,BID
1500,BIRC2,-0.0078748936,BIRC2
1501,BIRC3,-0.1075126997,BIRC3
1506,BLCAP,0.0960865541,BLCAP
1513,BLOC1S4,0.3009089451,BLOC1S4
1515,BLVRA,0.0277617803,BLVRA
1517,BLZF1,0.3160617133,BLZF1
1518,BMF,-0.1367066311,BMF
1519,BMP1,0.2105541009,BMP1
1522,BMP2,0.5641284576,BMP2
1525,BMP4,0.2033194365,BMP4
1526,BMP5,-0.6180009139,BMP5
1532,BMPR1A,-0.2633751136,BMPR1A
1534,BMPR2,0.0856456265,BMPR2
1541,BNC1,0.9112574528,BNC1
1543,BNIP1,-1.0235570225,BNIP1
1544,BNIP2,-0.0889719316,BNIP2
1545,BNIP3,-0.0427877537,BNIP3
1546,BNIP3L,-0.0650090183,BNIP3L
1549,BOD1,-0.0878006841,BOD1
1552,BOK,-0.1940958676,BOK
1554,BOLA1,0.1181004979,BOLA1
1556,BOLA3,-0.6076107027,BOLA3
1562,BPGM,0.0144713711,BPGM
1563,BPHL,-0.7350235181,BPHL
1575,BPNT1,-0.6227126086,BPNT1
1585,BRD2,0.1560771729,BRD2
1586,BRD3,-0.0519761114,BRD3
1587,BRD4,-0.1109916354,BRD4
1588,BRD7,-0.0113707304,BRD7
1590,BRD8,-0.0847413325,BRD8
1594,BRF1,-0.03814564,BRF1
1595,BRF2,-0.3942069837,BRF2
1597,BRI3BP,0.2791060173,BRI3BP
1599,BRIX1,-0.0279677546,BRIX1
1606,BRSK1,-2.1956820394,BRSK1
1610,BSDC1,0.2728524596,BSDC1
1611,BSG,0.108374678,BSG
1617,BST2,0.0069100625,BST2
1621,BTBD10,0.3328013816,BTBD10
1628,BTBD3,-0.26598418,BTBD3
1631,BTBD9,-1.6387691414,BTBD9
1633,BTD,-0.5956425692,BTD
1637,BTG2,0.497273968,BTG2
1638,BTG3,0.332037226,BTG3
1651,BTRC,-0.1272364097,BTRC
1652,BUB1,-1.3360888453,BUB1
1653,BUB3,-0.0357825203,BUB3
1654,BUD31,-0.007054611,BUD31
1655,BVES,-0.3575384998,BVES
1660,BZW1,0.2059582899,BZW1
1661,BZW2,-0.0697000537,BZW2
1897,C1GALT1,0.1995888555,C1GALT1
1898,C1GALT1C1,-0.164806755,C1GALT1C1
1964,C1QBP,-0.3681454877,C1QBP
1970,C1QTNF1,-0.0439472478,C1QTNF1
1974,C1QTNF6,-0.3052067115,C1QTNF6
2029,C2CD2L,0.6227832074,C2CD2L
2035,C2CD5,-0.1806571257,C2CD5
2273,CAB39,0.089066842,CAB39
2274,CAB39L,-0.5118054616,CAB39L
2275,CABIN1,-0.130271322,CABIN1
2276,CABLES1,1.021751551,CABLES1
2285,CACFD1,-0.3649362939,CACFD1
2288,CACNA1B,-1.2842338634,CACNA1B
2289,CACNA1C,-0.6335853345,CACNA1C
2293,CACNA1D,-0.8281210112,CACNA1D
2296,CACNA1G,2.2225769632,CACNA1G
2298,CACNA1H,-0.2092306483,CACNA1H
2301,CACNA2D1,0.2484324928,CACNA2D1
2303,CACNA2D3,0.2748911856,CACNA2D3
2306,CACNB1,-1.269280235,CACNB1
2307,CACNB2,-0.1767875085,CACNB2
2308,CACNB3,-0.3109289338,CACNB3
