Erl1.24vDMSO.24_logFC,Erl3.6vDMSO.6_logFC,Erl3.24vDMSO.24_logFC,Erl3.72vDMSO.72_logFC,Erl3.168vDMSO.168_logFC,Erl10.24vDMSO.24_logFC
-0.1405991397,-0.4987682701,-0.5416285148,-0.0671765175,-0.5347761409,-0.3546120042
0.2957902034,-0.3147493452,0.1503280786,0.4194444645,-0.4374525297,0.2574761781
0.5193510016,0.0653323366,0.1023433447,0.2992871662,-0.0633302808,0.385137062
0.212146545,0.0812535919,-0.0479593629,-0.167595474,0.3114513789,0.2482804219
-0.2107273617,0.0306840205,-0.082430727,0.2912803936,0.3949237533,-0.0825366764
0.0014340953,-0.0318390879,0.0538787202,0.0487966821,-0.1732954122,-0.0911050587
0.1522961626,0.1695845125,0.3766375025,0.1121034121,0.0499232731,0.0677992189
-0.029875242,-0.0837086233,-0.1172999745,0.7335143905,-0.075518538,-0.5214638079
-0.031496818,-0.3640993636,-0.1284319569,0.0178860917,-0.2350959329,-0.1662422482
-0.1439716828,-0.1470109704,-0.1396478083,0.1956977775,0.2550560647,0.048962796
-0.5745603021,0.2328334345,-0.7223351095,0.1469979313,-0.2564398036,-0.4940618559
-0.0432679989,-0.1493897673,0.2232233921,-0.123811979,-0.3654818998,0.2110242171
0.471586761,0.1777125212,0.562699725,-0.1541855899,0.0334080529,0.3638411353
0.2806321703,-0.5558890594,-0.0035934769,0.9970892026,0.1749499597,-0.0568459412
-0.6321150055,-0.0692231224,-0.7041035228,0.1538555036,-0.5682848671,-1.1112967431
0.3609093479,-0.1005712186,0.0277259929,0.1576459209,-0.3421986615,-0.1999849254
